id,pts,trb,ass
399,41,5,6
400,22,8,11
401,38,5,7
402,31,8,4
403,25,6,6
404,24,7,8
405,26,4,1
406,14,3,3
407,23,7,8
408,32,7,5
409,21,5,6
410,11,8,11
411,25,5,4
412,31,5,4
413,29,4,5
414,28,7,7
415,33,6,9
416,32,6,3
417,33,10,8
418,31,4,7
419,27,9,5
420,18,5,6
421,33,6,9
422,38,2,7
423,16,10,11
424,30,6,10
425,21,4,4
426,38,7,6
427,30,11,10
428,28,14,7
429,29,14,7
430,23,9,4
431,34,7,14
432,32,9,8
433,33,14,9
434,23,15,11
435,23,8,8
436,25,7,6
437,33,4,8
438,33,7,4
439,52,9,11
440,16,8,12
441,47,7,4
442,26,6,6
443,20,9,9
444,55,5,9
445,20,5,9
446,15,5,8
447,21,1,0
448,30,14,4
449,26,6,11
450,42,8,4
451,23,8,4
452,21,6,5
453,14,10,12
454,32,13,11
455,34,10,13
456,51,4,9
457,19,8,10
458,43,12,8
459,26,11,10
460,22,7,5
461,30,11,8
462,22,8,11
463,25,12,7
464,24,6,12
465,25,12,3
466,31,9,6
467,26,9,5
468,38,7,6
469,21,6,7
470,27,2,10
471,29,4,7
472,37,5,5
473,38,4,8
474,23,11,12
475,24,9,6
476,14,7,9
477,27,8,6
478,25,7,6
479,33,8,9
480,36,8,4
481,34,4,7
482,21,6,9
483,31,5,12
484,34,2,9
485,40,9,7
486,32,7,9
487,34,8,7
488,25,6,4
489,25,5,12
490,12,8,10
491,23,6,11
492,14,5,10
493,43,13,6
494,27,6,7
495,33,7,7
496,44,7,6
497,23,6,7
498,36,6,7
499,26,10,8
500,25,3,6
501,29,6,4
502,34,16,10
503,26,4,9
504,29,5,6
505,14,8,10
506,48,10,6
507,28,9,7
508,29,7,6
509,23,7,8
510,35,6,7
511,41,10,8
512,37,8,11
513,36,9,6
514,32,4,4
515,28,9,11
516,37,5,9
517,37,9,12
518,32,9,4
519,12,6,11
520,22,9,13
521,32,3,11
522,22,6,15
523,36,7,8
524,47,8,8
525,32,3,11
526,32,8,13
527,43,13,15
528,22,3,9
529,33,9,6
530,20,5,13
531,36,7,9
532,36,6,9
533,22,7,7
534,26,7,14
535,40,13,6
536,23,6,10
537,30,8,7
538,29,12,12
539,32,9,9
540,29,11,7
541,15,3,7
542,38,6,9
543,27,5,10
544,34,7,8
545,23,9,7
546,27,13,6
547,42,7,9
548,19,6,13
549,31,4,3
550,16,6,7
551,15,6,7
552,20,7,7
553,20,0,12
554,20,7,10
555,23,3,9
556,20,11,14
557,35,10,9
558,23,2,11
559,20,8,9
560,32,2,5
561,29,3,11
562,25,5,6
563,25,6,4
564,20,8,6
565,23,8,4
566,30,6,5
567,18,6,3
568,38,5,8
569,22,7,4
570,17,6,6
571,33,7,9
572,25,7,9
573,25,10,3
574,20,4,7
575,21,13,5
576,32,11,10
577,32,7,6
578,19,10,7
579,36,6,4
580,27,11,10
581,18,10,8
582,20,6,9
583,25,7,10
584,38,9,5
585,25,6,9
586,26,10,5
587,44,13,6
588,27,8,6
589,34,10,7
590,38,11,6
591,24,11,5
592,39,8,9
593,23,4,13
594,24,4,8
595,51,11,8
596,19,8,9
597,12,6,4
598,41,13,8
599,16,8,10
600,22,7,7
601,27,6,5
602,23,13,8
603,31,8,3
604,29,10,5
605,25,9,7
606,27,7,5
607,29,6,4
608,26,8,7
609,26,8,6
610,31,11,8
611,19,8,9
612,27,5,5
613,21,6,8
614,19,8,3
615,43,2,3
616,33,6,2
617,19,8,7
618,32,10,2
619,33,10,7
620,27,10,12
621,35,8,8
622,27,6,10
623,31,11,7
624,29,2,8
625,23,7,9
626,27,5,7
627,34,10,7
628,37,10,6
629,26,6,5
630,35,6,7
631,34,8,10
632,16,9,5
633,28,7,6
634,33,8,13
635,32,7,9
636,26,11,7
637,23,13,7
638,35,5,6
639,33,5,10
640,31,8,8
641,28,9,5
642,28,13,5
643,18,5,5
644,32,6,7
645,31,8,7
646,35,11,5
647,22,11,8
648,40,8,5
649,19,12,8
650,30,9,2
651,24,5,6
652,17,6,10
653,18,2,9
654,23,13,6
655,35,8,3
656,23,9,7
657,28,5,5
658,25,11,8
659,18,4,8
660,20,9,8
661,38,11,6
662,35,10,6
663,25,13,7
664,21,9,6
665,31,11,2
666,27,8,4
667,19,11,8
668,35,5,4
669,29,7,8
670,14,12,7
671,20,8,6
672,17,6,10
673,17,3,7
674,24,9,2
675,19,9,5
676,26,4,9
677,23,4,0
678,41,6,4
679,34,7,10
680,21,6,6
681,26,4,2
682,36,7,7
683,30,6,5
684,19,9,5
685,29,10,3
686,37,6,7
687,28,5,4
688,27,11,6
689,32,8,5
690,26,10,3
691,23,7,5
